41,r1
5876,r1
44,r1
43,r1
5787,r1
46,r1
49,r1
5785,r1
5790,r1
52,r1
51,r1
5779,r1
5788,r1
54,r1
137,r1
5777,r1
5782,r1
140,r1
139,r1
5676,r1
5780,r1
142,r1
145,r1
5674,r1
5679,r1
148,r1
147,r1
5668,r1
5677,r1
150,r1
233,r1
5666,r1
5671,r1
236,r1
235,r1
5562,r1
5669,r1
238,r1
241,r1
5560,r1
5565,r1
244,r1
243,r1
5554,r1
5563,r1
246,r1
329,r1
5552,r1
5557,r1
332,r1
331,r1
5442,r1
5555,r1
334,r1
337,r1
5440,r1
5445,r1
340,r1
339,r1
5434,r1
5443,r1
342,r1
425,r1
5432,r1
5437,r1
428,r1
427,r1
5304,r1
5435,r1
430,r1
433,r1
5302,r1
5307,r1
436,r1
435,r1
5296,r1
5305,r1
438,r1
521,r1
5294,r1
5299,r1
524,r1
523,r1
5184,r1
5297,r1
526,r1
529,r1
5182,r1
5187,r1
532,r1
531,r1
5176,r1
5185,r1
534,r1
617,r1
5174,r1
5179,r1
620,r1
619,r1
5067,r1
5177,r1
622,r1
625,r1
5065,r1
5070,r1
628,r1
627,r1
5059,r1
5068,r1
630,r1
713,r1
5057,r1
5062,r1
716,r1
715,r1
4950,r1
5060,r1
718,r1
721,r1
4948,r1
4953,r1
724,r1
723,r1
4942,r1
4951,r1
726,r1
809,r1
4940,r1
4945,r1
812,r1
811,r1
4833,r1
4943,r1
814,r1
817,r1
4831,r1
4836,r1
820,r1
819,r1
4825,r1
4834,r1
822,r1
905,r1
4823,r1
4828,r1
908,r1
907,r1
4716,r1
4826,r1
910,r1
913,r1
4714,r1
4719,r1
916,r1
915,r1
4708,r1
4717,r1
918,r1
1007,r1
4706,r1
4711,r1
1010,r1
1009,r1
4599,r1
4709,r1
1012,r1
1015,r1
4597,r1
4602,r1
1018,r1
1017,r1
4591,r1
4600,r1
1020,r1
1118,r1
4589,r1
4594,r1
1121,r1
1120,r1
4482,r1
4592,r1
1123,r1
1126,r1
4480,r1
4485,r1
1129,r1
1128,r1
4474,r1
4483,r1
1131,r1
1235,r1
4472,r1
4477,r1
1238,r1
1237,r1
4365,r1
4475,r1
1240,r1
1243,r1
4363,r1
4368,r1
1246,r1
1245,r1
4357,r1
4366,r1
1248,r1
1352,r1
4355,r1
4360,r1
1355,r1
1354,r1
4248,r1
4358,r1
1357,r1
1360,r1
4246,r1
4251,r1
1363,r1
1362,r1
4240,r1
4249,r1
1365,r1
1469,r1
4238,r1
4243,r1
1472,r1
1471,r1
4131,r1
4241,r1
1474,r1
1477,r1
4129,r1
4134,r1
1480,r1
1479,r1
4123,r1
4132,r1
1482,r1
1586,r1
4121,r1
4126,r1
1589,r1
1588,r1
4014,r1
4124,r1
1591,r1
1594,r1
4012,r1
4017,r1
1597,r1
1596,r1
4006,r1
4015,r1
1599,r1
1703,r1
4004,r1
4009,r1
1706,r1
1705,r1
3897,r1
4007,r1
1708,r1
1711,r1
3895,r1
3900,r1
1714,r1
1713,r1
3889,r1
3898,r1
1716,r1
1820,r1
3887,r1
3892,r1
1823,r1
1822,r1
3780,r1
3890,r1
1825,r1
1828,r1
3778,r1
3783,r1
1831,r1
1830,r1
3772,r1
3781,r1
1833,r1
1940,r1
3770,r1
3775,r1
1943,r1
1942,r1
3663,r1
3773,r1
1945,r1
1948,r1
3661,r1
3666,r1
1951,r1
1950,r1
3655,r1
3664,r1
1953,r1
2078,r1
3653,r1
3658,r1
2081,r1
2080,r1
3546,r1
3656,r1
2083,r1
2086,r1
3544,r1
3549,r1
2089,r1
2088,r1
3538,r1
3547,r1
2091,r1
2216,r1
3536,r1
3541,r1
2219,r1
2218,r1
3429,r1
3539,r1
2221,r1
2224,r1
3427,r1
3432,r1
2227,r1
2226,r1
3421,r1
3430,r1
2229,r1
2354,r1
3419,r1
3424,r1
2357,r1
2356,r1
3312,r1
3422,r1
2359,r1
2362,r1
3310,r1
3315,r1
2365,r1
2364,r1
3304,r1
3313,r1
2367,r1
2492,r1
3302,r1
3307,r1
2495,r1
2494,r1
3192,r1
3305,r1
2497,r1
2500,r1
3190,r1
3195,r1
2503,r1
2502,r1
3184,r1
3193,r1
